model,decoding_tps,prefill_tps,run_id,mode,temperature,repeat_penalty,top_p,top_k,min_p,ctx_size,keep,batch_size,ubatch_size,threads,ngl,ctk,ctv,flash_attn,poll_level,use_mmap,split_mode,dry_multiplier,frequency_penalty,presence_penalty,token_limit,prompt_tokens,gen_tokens,run_tag,log_file
LFM2-2.6B.Q4_K_M,22.60,46.58,11,CPU,0.2,1.1,1.0,40,0.15,1024,0,128,128,8,0,f16,f16,1,30,0,none,1.0,0.1,0.4,600,512,128,trial11_LFM2-2.6B.Q4_K_M_modeCPU_T0.2_P1.0_K40_minp0.15_C1024_Bcpu128_thr8_ngl0_pp512_tg128_fa1,hyperparam_bench_random_20251210_193119/trial11_LFM2-2.6B.Q4_K_M_modeCPU_T0.2_P1.0_K40_minp0.15_C1024_Bcpu128_thr8_ngl0_pp512_tg128_fa1.log
phi-4-mini-reasoning-4b-bf16,0.58,1.46,12,CPU,0.2,1.1,1.0,40,0.15,1024,0,128,128,8,0,f16,f16,1,30,0,none,1.0,0.1,0.4,600,512,128,trial12_phi-4-mini-reasoning-4b-bf16_modeCPU_T0.2_P1.0_K40_minp0.15_C1024_Bcpu128_thr8_ngl0_pp512_tg128_fa1,hyperparam_bench_random_20251210_193119/trial12_phi-4-mini-reasoning-4b-bf16_modeCPU_T0.2_P1.0_K40_minp0.15_C1024_Bcpu128_thr8_ngl0_pp512_tg128_fa1.log
llama-3.2-1b-instruct-q4_k_m,28.74,66.87,13,CPU,0.2,1.1,1.0,40,0.15,1024,0,128,128,8,0,f16,f16,1,30,0,none,1.0,0.1,0.4,600,512,128,trial13_llama-3.2-1b-instruct-q4_k_m_modeCPU_T0.2_P1.0_K40_minp0.15_C1024_Bcpu128_thr8_ngl0_pp512_tg128_fa1,hyperparam_bench_random_20251210_193119/trial13_llama-3.2-1b-instruct-q4_k_m_modeCPU_T0.2_P1.0_K40_minp0.15_C1024_Bcpu128_thr8_ngl0_pp512_tg128_fa1.log
qwen2-7b-tinytron-Q4_K_M,11.71,21.90,14,CPU,0.2,1.1,1.0,40,0.15,1024,0,128,128,8,0,f16,f16,1,30,0,none,1.0,0.1,0.4,600,512,128,trial14_qwen2-7b-tinytron-Q4_K_M_modeCPU_T0.2_P1.0_K40_minp0.15_C1024_Bcpu128_thr8_ngl0_pp512_tg128_fa1,hyperparam_bench_random_20251210_193119/trial14_qwen2-7b-tinytron-Q4_K_M_modeCPU_T0.2_P1.0_K40_minp0.15_C1024_Bcpu128_thr8_ngl0_pp512_tg128_fa1.log
LFM2-2.6B.Q4_K_M,14.08,28.10,15,CPU,0.2,1.1,1.0,40,0.15,1024,0,128,128,8,0,f16,f16,1,30,0,none,1.0,0.1,0.4,600,512,128,trial15_LFM2-2.6B.Q4_K_M_modeCPU_T0.2_P1.0_K40_minp0.15_C1024_Bcpu128_thr8_ngl0_pp512_tg128_fa1,hyperparam_bench_random_20251210_193119/trial15_LFM2-2.6B.Q4_K_M_modeCPU_T0.2_P1.0_K40_minp0.15_C1024_Bcpu128_thr8_ngl0_pp512_tg128_fa1.log
TinyLlama-1.1B-Chat-Q4_K_M,37.76,65.05,16,CPU,0.2,1.1,1.0,40,0.15,1024,0,128,128,8,0,f16,f16,1,30,0,none,1.0,0.1,0.4,600,512,128,trial16_TinyLlama-1.1B-Chat-Q4_K_M_modeCPU_T0.2_P1.0_K40_minp0.15_C1024_Bcpu128_thr8_ngl0_pp512_tg128_fa1,hyperparam_bench_random_20251210_193119/trial16_TinyLlama-1.1B-Chat-Q4_K_M_modeCPU_T0.2_P1.0_K40_minp0.15_C1024_Bcpu128_thr8_ngl0_pp512_tg128_fa1.log
granite-3.3-8b-instruct-Q4_K_M,5.87,13.77,17,CPU,0.2,1.1,1.0,40,0.15,1024,0,128,128,8,0,f16,f16,1,30,0,none,1.0,0.1,0.4,600,512,128,trial17_granite-3.3-8b-instruct-Q4_K_M_modeCPU_T0.2_P1.0_K40_minp0.15_C1024_Bcpu128_thr8_ngl0_pp512_tg128_fa1,hyperparam_bench_random_20251210_193119/trial17_granite-3.3-8b-instruct-Q4_K_M_modeCPU_T0.2_P1.0_K40_minp0.15_C1024_Bcpu128_thr8_ngl0_pp512_tg128_fa1.log
minicpm-3b-openhermes-2.5-v2.Q4_K_M,13.87,24.29,18,CPU,0.2,1.1,1.0,40,0.15,1024,0,128,128,8,0,f16,f16,1,30,0,none,1.0,0.1,0.4,600,512,128,trial18_minicpm-3b-openhermes-2.5-v2.Q4_K_M_modeCPU_T0.2_P1.0_K40_minp0.15_C1024_Bcpu128_thr8_ngl0_pp512_tg128_fa1,hyperparam_bench_random_20251210_193119/trial18_minicpm-3b-openhermes-2.5-v2.Q4_K_M_modeCPU_T0.2_P1.0_K40_minp0.15_C1024_Bcpu128_thr8_ngl0_pp512_tg128_fa1.log
deepseek-r1-7b-bf16_q4_0,8.89,29.88,19,CPU,0.2,1.1,1.0,40,0.15,1024,0,128,128,8,0,f16,f16,1,30,0,none,1.0,0.1,0.4,600,512,128,trial19_deepseek-r1-7b-bf16_q4_0_modeCPU_T0.2_P1.0_K40_minp0.15_C1024_Bcpu128_thr8_ngl0_pp512_tg128_fa1,hyperparam_bench_random_20251210_193119/trial19_deepseek-r1-7b-bf16_q4_0_modeCPU_T0.2_P1.0_K40_minp0.15_C1024_Bcpu128_thr8_ngl0_pp512_tg128_fa1.log
DeepSeek-R1-Distill-Qwen-1.5B-Q4_K_M,20.35,49.47,20,CPU,0.2,1.1,1.0,40,0.15,1024,0,128,128,8,0,f16,f16,1,30,0,none,1.0,0.1,0.4,600,512,128,trial20_DeepSeek-R1-Distill-Qwen-1.5B-Q4_K_M_modeCPU_T0.2_P1.0_K40_minp0.15_C1024_Bcpu128_thr8_ngl0_pp512_tg128_fa1,hyperparam_bench_random_20251210_193119/trial20_DeepSeek-R1-Distill-Qwen-1.5B-Q4_K_M_modeCPU_T0.2_P1.0_K40_minp0.15_C1024_Bcpu128_thr8_ngl0_pp512_tg128_fa1.log
LFM2-2.6B.Q4_K_M,15.10,28.42,21,CPU,0.2,1.1,1.0,40,0.15,1024,0,128,128,8,0,f16,f16,1,30,0,none,1.0,0.1,0.4,600,512,128,trial21_LFM2-2.6B.Q4_K_M_modeCPU_T0.2_P1.0_K40_minp0.15_C1024_Bcpu128_thr8_ngl0_pp512_tg128_fa1,hyperparam_bench_random_20251210_193119/trial21_LFM2-2.6B.Q4_K_M_modeCPU_T0.2_P1.0_K40_minp0.15_C1024_Bcpu128_thr8_ngl0_pp512_tg128_fa1.log
phi-4-mini-reasoning-4b-bf16,0.72,1.71,22,CPU,0.2,1.1,1.0,40,0.15,1024,0,128,128,8,0,f16,f16,1,30,0,none,1.0,0.1,0.4,600,512,128,trial22_phi-4-mini-reasoning-4b-bf16_modeCPU_T0.2_P1.0_K40_minp0.15_C1024_Bcpu128_thr8_ngl0_pp512_tg128_fa1,hyperparam_bench_random_20251210_193119/trial22_phi-4-mini-reasoning-4b-bf16_modeCPU_T0.2_P1.0_K40_minp0.15_C1024_Bcpu128_thr8_ngl0_pp512_tg128_fa1.log
Llama-3.2-1B-Instruct-Q4_0,38.84,162.70,23,CPU,0.2,1.1,1.0,40,0.15,1024,0,128,128,8,0,f16,f16,1,30,0,none,1.0,0.1,0.4,600,512,128,trial23_Llama-3.2-1B-Instruct-Q4_0_modeCPU_T0.2_P1.0_K40_minp0.15_C1024_Bcpu128_thr8_ngl0_pp512_tg128_fa1,hyperparam_bench_random_20251210_193119/trial23_Llama-3.2-1B-Instruct-Q4_0_modeCPU_T0.2_P1.0_K40_minp0.15_C1024_Bcpu128_thr8_ngl0_pp512_tg128_fa1.log
TinyLlama-1.1B-Chat-Q4_K_M,36.36,64.61,24,CPU,0.2,1.1,1.0,40,0.15,1024,0,128,128,8,0,f16,f16,1,30,0,none,1.0,0.1,0.4,600,512,128,trial24_TinyLlama-1.1B-Chat-Q4_K_M_modeCPU_T0.2_P1.0_K40_minp0.15_C1024_Bcpu128_thr8_ngl0_pp512_tg128_fa1,hyperparam_bench_random_20251210_193119/trial24_TinyLlama-1.1B-Chat-Q4_K_M_modeCPU_T0.2_P1.0_K40_minp0.15_C1024_Bcpu128_thr8_ngl0_pp512_tg128_fa1.log
microsoft_Phi-4-mini-instruct-Q4_K_M,9.61,18.56,25,CPU,0.2,1.1,1.0,40,0.15,1024,0,128,128,8,0,f16,f16,1,30,0,none,1.0,0.1,0.4,600,512,128,trial25_microsoft_Phi-4-mini-instruct-Q4_K_M_modeCPU_T0.2_P1.0_K40_minp0.15_C1024_Bcpu128_thr8_ngl0_pp512_tg128_fa1,hyperparam_bench_random_20251210_193119/trial25_microsoft_Phi-4-mini-instruct-Q4_K_M_modeCPU_T0.2_P1.0_K40_minp0.15_C1024_Bcpu128_thr8_ngl0_pp512_tg128_fa1.log
MobileLLM-R1-950M_Q4_K_S,38.35,83.22,26,CPU,0.2,1.1,1.0,40,0.15,1024,0,128,128,8,0,f16,f16,1,30,0,none,1.0,0.1,0.4,600,512,128,trial26_MobileLLM-R1-950M_Q4_K_S_modeCPU_T0.2_P1.0_K40_minp0.15_C1024_Bcpu128_thr8_ngl0_pp512_tg128_fa1,hyperparam_bench_random_20251210_193119/trial26_MobileLLM-R1-950M_Q4_K_S_modeCPU_T0.2_P1.0_K40_minp0.15_C1024_Bcpu128_thr8_ngl0_pp512_tg128_fa1.log
