run_id,model,mode,temperature,repeat_penalty,top_p,top_k,ctx_size,keep,batch_size,ubatch_size,threads,ngl,ctk,ctv,flash_attn,context_shift,poll_level,use_mmap,split_mode,system_prompt,bleurt_score,accuracy,avg_prefill_speed,avg_decode_speed,avg_total_speed,runtime_seconds
20,DeepSeek-R1-Distill-Qwen-1.5B-Q4_K_M.gguf,CPU,0.2,1.1,0.95,60,256,4,64,64,8,0,f16,q8_0,on,1,50,0,none,"",-0.7516061066091061,0.52,36.99,22.34,23.19,1421
21,minicpm-3b-openhermes-2.5-v2.Q4_K_M.gguf,CPU,0.5,1.1,1.0,50,512,4,128,128,8,0,f16,f16,on,1,30,0,none,"",-0.8425772380828858,0.6,37.98,23.37,24.19,1358
22,qwen2-7b-tinytron-Q4_K_M.gguf,CPU,0.2,1.1,0.9,60,1024,4,256,256,8,0,f16,q8_0,on,1,40,0,none,"",-0.7581510697305203,0.52,36.37,22.42,23.25,1428
23,mobilellm-r1.5-950M_q4_0.gguf,CPU,0.4,1.1,1.0,40,1024,4,256,256,8,0,f16,q8_0,on,1,30,0,none,"",-0.8004881632328034,0.56,36.77,22.23,22.86,1396
24,LFM2-8B-A1B-Q4_K_M.gguf,CPU,0.5,1.1,1.0,50,1024,4,256,256,8,0,f16,f16,on,1,40,0,none,"",-0.8425772380828858,0.6,38.83,23.10,24.02,1348
25,minicpm-3b-openhermes-2.5-v2.Q4_K_M.gguf,CPU,0.5,1.1,1.0,50,1024,4,128,128,8,0,f16,q8_0,on,1,50,0,none,"",-0.8512634992599487,0.52,35.18,22.31,22.93,1418
26,qwen2-7b-tinytron-Q4_K_M.gguf,CPU,0.3,1.1,1.0,30,512,4,128,128,8,0,f16,f16,on,1,30,0,none,"",-0.7453000200342159,0.5306122448979592,36.16,22.68,23.61,1405
27,DeepSeek-R1-Distill-Qwen-1.5B-Q4_K_M.gguf,CPU,0.4,1.1,1.0,40,1024,4,256,256,8,0,f16,q8_0,on,1,30,0,none,"",-0.8004881632328034,0.56,35.61,22.03,22.64,1396
28,LFM2-8B-A1B-Q4_K_M.gguf,CPU,0.5,1.1,0.95,50,512,4,128,128,8,0,f16,f16,on,1,50,0,none,"",-0.8428158617019653,0.6,37.22,22.97,23.77,1358
29,DeepSeek-R1-Distill-Qwen-1.5B-Q4_K_M.gguf,CPU,0.4,1.1,1.0,40,1024,4,128,128,8,0,f16,f16,on,1,30,0,none,"",-0.8551302176713943,0.52,36.55,22.59,23.30,1387
30,LFM2-8B-A1B-Q4_K_M.gguf,CPU,0.4,1.1,0.95,40,256,4,64,64,8,0,f16,f16,on,1,40,0,none,"",-0.8562410360574723,0.52,37.33,22.63,23.47,1373
