run_id,model,mode,temperature,repeat_penalty,top_p,top_k,min_p,ctx_size,keep,batch_size,ubatch_size,threads,ngl,ctk,ctv,flash_attn,context_shift,poll_level,use_mmap,split_mode,dry_multiplier,frequency_penalty,presence_penalty,token_limit,system_prompt,rouge1,rouge2,rougeL,rougeLsum,avg_prefill_speed,avg_decode_speed,avg_total_speed,runtime_seconds
12,DeepSeek-R1-Distill-Qwen-1.5B-Q4_K_M.gguf,CPU,0.3,1.2,1.0,30,0.1,4096,4,512,512,8,0,f16,q8_0,on,1,30,0,none,0.8,0.1,0.3,750,,0.16715092703812606,0.021244620271340844,0.09818698794221042,0.11458412471692811,0.00,0.00,34.51,273
13,qwen2-7b-tinytron-Q4_K_M.gguf,CPU,0.2,1.1,1.0,40,0.15,4096,0,512,512,8,0,f16,q8_0,on,1,30,0,none,1.0,0.15,0.2,500,,0.20787527849697715,0.02224251851647304,0.12533560801368482,0.1402661571421093,0.00,0.00,15.63,356
14,TinyLlama-1.1B-Chat-Q4_K_M.gguf,CPU,0.3,1.1,1.0,30,0.15,1024,4,512,512,8,0,f16,q8_0,on,1,30,0,none,0.8,0.15,0.2,500,,0.2589822885522769,0.035681179653278355,0.16375695966412623,0.16249437274899486,0.00,0.00,83.64,116
15,Llama-3.2-1B-Instruct-Q4_0.gguf,CPU,0.2,1.2,1.0,40,0.1,2048,0,128,128,8,0,f16,q8_0,on,1,30,0,none,1.0,0.1,0.3,750,,0.1898195982257695,0.015588408488574778,0.11676178496703547,0.13665924317891595,0.00,0.00,58.20,157
16,Llama-3.2-1B-Instruct-Q4_0.gguf,CPU,0.3,1.2,1.0,30,0.1,2048,4,128,128,8,0,f16,q8_0,on,1,30,0,none,0.8,0.1,0.3,750,,0.2058878968048063,0.015340414779179912,0.12578731649154185,0.14607054045534063,0.00,0.00,65.87,131
17,DeepSeek-R1-Distill-Qwen-1.5B-Q4_K_M.gguf,CPU,0.2,1.1,1.0,40,0.15,4096,0,256,256,8,0,f16,q8_0,on,1,30,0,none,1.0,0.15,0.4,500,,0.18271383256065543,0.016248198926135757,0.11653078535789096,0.12931272156713702,0.00,0.00,40.09,192
18,TinyLlama-1.1B-Chat-Q4_K_M.gguf,CPU,0.2,1.1,1.0,40,0.15,1024,0,256,256,8,0,f16,q8_0,on,1,30,0,none,1.0,0.15,0.4,500,,0.23184615879792025,0.027085187038007084,0.1513387721665595,0.15194797838014004,0.00,0.00,91.64,110
19,DeepSeek-R1-Distill-Qwen-1.5B-Q4_K_M.gguf,CPU,0.2,1.1,1.0,40,0.15,4096,4,128,128,8,0,f16,q8_0,on,1,30,0,none,1.0,0.15,0.3,500,,0.19462970067102017,0.024533955937875267,0.11724765877790833,0.1377484724303601,0.00,0.00,43.28,179
20,TinyLlama-1.1B-Chat-Q4_K_M.gguf,CPU,0.3,1.2,1.0,30,0.1,512,4,128,128,8,0,f16,q8_0,on,1,30,0,none,0.8,0.1,0.3,750,,0.2383615072004386,0.026086963564970082,0.1376358162046161,0.13850027604949067,0.00,0.00,85.42,116
21,DeepSeek-R1-Distill-Qwen-1.5B-Q4_K_M.gguf,CPU,0.3,1.1,1.0,30,0.15,4096,4,128,128,8,0,f16,q8_0,on,1,30,0,none,0.8,0.15,0.3,500,,0.15830445786162375,0.020585525854890298,0.10925346096517956,0.11457754969325176,0.00,0.00,37.51,222
22,DeepSeek-R1-Distill-Qwen-1.5B-Q4_K_M.gguf,CPU,0.3,1.1,1.0,30,0.15,4096,4,256,256,8,0,f16,q8_0,on,1,30,0,none,0.8,0.1,0.4,750,,0.18986046248602337,0.021395519601939913,0.12485951105622743,0.12941498022291992,0.00,0.00,39.02,217
23,qwen2-7b-tinytron-Q4_K_M.gguf,CPU,0.3,1.2,1.0,30,0.1,512,4,512,512,8,0,f16,q8_0,on,1,30,0,none,0.8,0.1,0.2,750,,0.19673211457134193,0.030608686863995763,0.12170758296943726,0.13591167515597458,0.00,0.00,16.01,365
24,Llama-3.2-1B-Instruct-Q4_0.gguf,CPU,0.3,1.2,1.0,30,0.1,2048,4,512,512,8,0,f16,q8_0,on,1,30,0,none,0.8,0.1,0.2,750,,0.1859467006254008,0.01739883786777927,0.11231288667834755,0.11724194791767484,0.00,0.00,55.54,186
25,Llama-3.2-1B-Instruct-Q4_0.gguf,CPU,0.2,1.2,1.0,40,0.15,2048,0,256,256,8,0,f16,q8_0,on,1,30,0,none,1.0,0.15,0.4,500,,0.1790732646436296,0.013787867269247725,0.10135276761109846,0.11755055982831242,0.00,0.00,61.29,152
26,TinyLlama-1.1B-Chat-Q4_K_M.gguf,CPU,0.2,1.1,1.0,40,0.15,1024,4,512,512,8,0,f16,q8_0,on,1,30,0,none,1.0,0.15,0.2,500,,0.2210392239650344,0.03121106936128366,0.15086786300626137,0.15219605576293352,0.00,0.00,83.38,113
27,Llama-3.2-1B-Instruct-Q4_0.gguf,CPU,0.3,1.2,1.0,40,0.1,2048,0,128,128,8,0,f16,q8_0,on,1,30,0,none,1.0,0.1,0.3,750,,0.17211623369652873,0.01538864282413821,0.102700420280358,0.12040517400187013,0.00,0.00,59.40,167
28,Llama-3.2-1B-Instruct-Q4_0.gguf,CPU,0.2,1.2,1.0,40,0.1,512,4,128,128,8,0,f16,q8_0,on,1,30,0,none,0.8,0.1,0.4,750,,0.20558097717597704,0.01876938396574578,0.11999729995965021,0.141263458970723,0.00,0.00,62.29,147
29,TinyLlama-1.1B-Chat-Q4_K_M.gguf,CPU,0.3,1.2,1.0,30,0.1,1024,4,128,128,8,0,f16,q8_0,on,1,30,0,none,0.8,0.1,0.3,750,,0.22267664449586055,0.035212765223556264,0.13994719186204818,0.1376879357933794,0.00,0.00,92.58,95
30,qwen2-7b-tinytron-Q4_K_M.gguf,CPU,0.2,1.1,1.0,40,0.15,4096,0,512,512,8,0,f16,q8_0,on,1,30,0,none,1.0,0.15,0.2,500,,0.17028032608192806,0.026824420294454202,0.1141962588602592,0.12215112274164613,0.00,0.00,15.93,371
31,DeepSeek-R1-Distill-Qwen-1.5B-Q4_K_M.gguf,CPU,0.2,1.1,1.0,40,0.15,4096,0,128,128,8,0,f16,q8_0,on,1,30,0,none,1.0,0.15,0.3,500,,0.19093698680386437,0.029144087865567755,0.12603394006230037,0.12341374927367199,0.00,0.00,37.94,207
32,Llama-3.2-1B-Instruct-Q4_0.gguf,CPU,0.2,1.1,1.0,40,0.15,2048,0,128,128,8,0,f16,q8_0,on,1,30,0,none,1.0,0.1,0.4,500,,0.23302067209878435,0.029792168060380694,0.14230486553732624,0.16200684154218986,0.00,0.00,59.86,154
33,TinyLlama-1.1B-Chat-Q4_K_M.gguf,CPU,0.2,1.1,1.0,40,0.15,1024,0,512,512,8,0,f16,q8_0,on,1,30,0,none,1.0,0.15,0.2,500,,0.22027808713517127,0.03305275623740934,0.15288016510352798,0.15291638052316042,0.00,0.00,95.82,92
34,Llama-3.2-1B-Instruct-Q4_0.gguf,CPU,0.2,1.1,1.0,40,0.15,2048,0,128,128,8,0,f16,q8_0,on,1,30,0,none,1.0,0.15,0.3,500,,0.19432428545154057,0.02176394488616532,0.1261030165999564,0.1363541470086604,0.00,0.00,58.10,161
35,qwen2-7b-tinytron-Q4_K_M.gguf,CPU,0.2,1.1,1.0,40,0.15,4096,0,256,256,8,0,f16,q8_0,on,1,30,0,none,1.0,0.15,0.4,500,,0.245985422688148,0.028195625282803057,0.15559628063045572,0.1586752740990491,0.00,0.00,19.90,227
36,DeepSeek-R1-Distill-Qwen-1.5B-Q4_K_M.gguf,CPU,0.3,1.1,1.0,30,0.1,4096,4,256,256,8,0,f16,q8_0,on,1,30,0,none,0.8,0.1,0.4,750,,0.1976730224372077,0.02801190417512342,0.12039087039443844,0.12290690164212147,0.00,0.00,41.03,193
37,qwen2-7b-tinytron-Q4_K_M.gguf,CPU,0.3,1.2,1.0,30,0.1,512,4,256,256,8,0,f16,q8_0,on,1,30,0,none,0.8,0.1,0.4,750,,0.2183588852359461,0.03851273636429912,0.14519372775781597,0.16065442338264055,0.00,0.00,17.70,298
38,Llama-3.2-1B-Instruct-Q4_0.gguf,CPU,0.2,1.1,1.0,40,0.15,1024,0,128,128,8,0,f16,q8_0,on,1,30,0,none,1.0,0.15,0.4,500,,0.1898823858701715,0.02048595721874892,0.12263992737388063,0.13244725797679652,0.00,0.00,55.82,182
39,Llama-3.2-1B-Instruct-Q4_0.gguf,CPU,0.2,1.1,1.0,40,0.15,2048,0,256,256,8,0,f16,q8_0,on,1,30,0,none,1.0,0.15,0.2,500,,0.237429899701636,0.031669112200409306,0.1377638434560494,0.14989944642655312,0.00,0.00,63.78,142
40,qwen2-7b-tinytron-Q4_K_M.gguf,CPU,0.2,1.2,1.0,40,0.15,512,0,128,128,8,0,f16,q8_0,on,1,30,0,none,1.0,0.15,0.3,500,,0.1648905488886585,0.020729652342099718,0.1048893005273727,0.11557619453756232,0.00,0.00,16.73,378
41,qwen2-7b-tinytron-Q4_K_M.gguf,CPU,0.2,1.1,1.0,40,0.15,4096,0,256,256,8,0,f16,q8_0,on,1,30,0,none,1.0,0.15,0.4,500,,0.19944912688251004,0.023733626980113602,0.1290908497671296,0.13461344225710467,0.00,0.00,15.89,335
42,Llama-3.2-1B-Instruct-Q4_0.gguf,CPU,0.2,1.1,1.0,40,0.15,1024,0,128,128,8,0,f16,q8_0,on,1,30,0,none,1.0,0.15,0.3,500,,0.21270258303920966,0.021378808884925403,0.1309760347455698,0.1407498114627544,0.00,0.00,53.51,189
43,TinyLlama-1.1B-Chat-Q4_K_M.gguf,CPU,0.3,1.2,1.0,30,0.1,1024,4,256,256,8,0,f16,q8_0,on,1,30,0,none,0.8,0.1,0.4,750,,0.22452417964736743,0.023640958779005367,0.1420132879038864,0.1414499507223301,0.00,0.00,88.10,108
44,TinyLlama-1.1B-Chat-Q4_K_M.gguf,CPU,0.3,1.2,1.0,30,0.1,512,4,256,256,8,0,f16,q8_0,on,1,30,0,none,0.8,0.1,0.4,750,,0.23954868070737695,0.035074525444636975,0.1347416038456384,0.13489737592872633,0.00,0.00,91.76,95
45,qwen2-7b-tinytron-Q4_K_M.gguf,CPU,0.3,1.2,1.0,40,0.1,512,0,512,512,8,0,f16,q8_0,on,1,30,0,none,1.0,0.1,0.3,750,,0.1808189311758371,0.027660135520658456,0.10942792092087636,0.1301233321507399,0.00,0.00,13.90,409
